T,current_km,best_km
119.127191384,-8717512.64663,-8718205.19207
119.008123707,-8721911.68265,-8721921.87551
118.889175037,-8720549.6977,-8721925.91697
118.770345257,-8721007.93439,-8721925.91697
118.651634248,-8720243.12349,-8721925.91697
118.53304189,-8719636.09542,-8721925.91697
118.414568065,-8719377.39192,-8721925.91697
118.296212655,-8719743.04491,-8721925.91697
118.177975541,-8720334.16843,-8721925.91697
118.059856606,-8721250.79526,-8721925.91697
117.94185573,-8720473.97597,-8721925.91697
117.823972796,-8723416.49631,-8723438.31642
117.706207686,-8723617.37188,-8723739.77069
117.588560283,-8725876.39076,-8725876.39076
117.471030468,-8727715.63735,-8727715.63735
117.353618124,-8728200.28332,-8729145.56454
117.236323134,-8728042.53811,-8729145.56454
117.11914538,-8730113.78677,-8730333.38605
117.002084745,-8731474.16042,-8732032.88112
116.885141113,-8731790.52329,-8732718.29186
116.768314366,-8732236.11773,-8732767.88971
116.651604387,-8732296.21482,-8732826.66071
116.53501106,-8732564.04107,-8732826.66071
116.418534268,-8731696.38479,-8733080.48137
116.302173894,-8731818.70382,-8733080.48137
116.185929823,-8732680.06825,-8733080.48137
116.069801938,-8732589.33153,-8733080.48137
115.953790122,-8732329.9358,-8733080.48137
115.837894261,-8734518.70453,-8734966.29867
115.722114237,-8736541.72256,-8736629.25985
115.606449936,-8738196.25803,-8738665.23391
115.490901241,-8739639.02931,-8739871.81556
115.375468037,-8738751.1637,-8739955.46301
115.260150209,-8739537.42542,-8739955.46301
115.144947641,-8739410.91434,-8739955.46301
115.029860218,-8739913.85591,-8739955.46301
114.914887825,-8740176.06401,-8740834.36273
114.800030346,-8738734.81083,-8740834.36273
114.685287668,-8739926.3848,-8740834.36273
114.570659675,-8742384.21027,-8742384.21027
114.456146253,-8744027.39163,-8744430.25568
114.341747288,-8744499.81057,-8744545.56321
114.227462664,-8745878.68811,-8746430.32574
114.113292267,-8747670.03346,-8747670.03346
113.999235984,-8748960.12488,-8749415.01902
113.8852937,-8754522.44472,-8754871.68787
113.771465302,-8757053.58706,-8757053.63706
113.657750675,-8760716.91691,-8760893.6894
113.544149706,-8762775.11195,-8762964.80948
113.430662281,-8763956.98068,-8764068.48673
113.317288287,-8764633.34274,-8765489.67316
113.20402761,-8764406.4955,-8766004.33582
113.090880137,-8763969.01381,-8766004.33582
112.977845755,-8765819.54414,-8766004.33582
112.864924351,-8767590.54122,-8767590.54122
112.752115812,-8767741.28688,-8767781.36222
112.639420026,-8773219.27182,-8773219.27182
112.526836879,-8773272.95892,-8774652.36943
112.414366258,-8774631.27126,-8774652.36943
112.302008052,-8775378.57894,-8775724.11594
112.189762149,-8774946.0867,-8775724.11594
112.077628435,-8776302.92406,-8776393.00714
111.965606798,-8776348.99997,-8776711.64993
111.853697128,-8779323.41803,-8779517.4386
111.741899311,-8778106.94692,-8779517.4386
111.630213236,-8778967.33327,-8779560.29348
111.518638791,-8778793.644,-8779560.29348
111.407175866,-8779210.00344,-8779560.29348
111.295824347,-8779839.96086,-8780099.96889
111.184584124,-8778415.44713,-8780099.96889
111.073455086,-8782960.53284,-8782960.53284
110.962437121,-8785438.68679,-8785438.68679
110.851530119,-8786566.11977,-8786972.69051
110.740733969,-8789970.27979,-8790060.72541
110.630048559,-8793536.2922,-8793553.27484
110.51947378,-8792446.47559,-8793782.53884
110.409009519,-8795887.6606,-8795887.6606
110.298655668,-8798818.42406,-8798818.42406
110.188412116,-8800295.75277,-8800295.75277
110.078278752,-8801630.32633,-8801630.32633
109.968255467,-8803865.24865,-8803865.24865
109.85834215,-8803431.85861,-8803865.24865
109.748538691,-8802266.55446,-8803865.24865
109.638844981,-8804851.2785,-8805144.25904
109.52926091,-8805240.61248,-8805773.33839
109.419786368,-8810434.9296,-8810678.25567
109.310421246,-8811076.53923,-8811598.31023
109.201165434,-8812186.68803,-8812367.31909
109.092018824,-8811996.55011,-8812367.31909
108.982981306,-8812178.06045,-8812508.43917
108.874052771,-8813336.10245,-8813597.59808
108.76523311,-8812722.59539,-8814362.83994
108.656522214,-8813514.22428,-8814362.83994
108.547919975,-8815203.67749,-8815296.46484
108.439426283,-8817178.22445,-8817269.82962
108.331041032,-8818261.04792,-8818556.00615
108.222764111,-8817799.16485,-8818556.00615
108.114595413,-8817781.94493,-8818556.00615
108.00653483,-8817189.86441,-8818556.00615
107.898582254,-8817125.60278,-8818556.00615
107.790737576,-8819970.95195,-8820249.27736
107.683000689,-8820841.48721,-8821051.71762
107.575371485,-8835114.43701,-8835161.90858
107.467849856,-8834791.25729,-8835304.68909
107.360435695,-8836237.7087,-8836538.6034
107.253128895,-8847227.08433,-8847235.1539
107.145929348,-8847203.46564,-8847491.31799
107.038836947,-8846224.89806,-8847650.36686
106.931851585,-8847395.52288,-8847650.36686
106.824973155,-8849428.66314,-8849509.79738
106.71820155,-8849648.04973,-8850646.40304
106.611536663,-8848948.97101,-8850646.40304
106.504978388,-8850102.63668,-8850646.40304
106.398526618,-8850891.16029,-8850902.24722
106.292181246,-8851181.4783,-8851528.57191
